,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3897,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],668.42,-33.14,-49.4,32.13,21.44,-4.03,47.31,18.37,83.0,22.0,61.0,26.51,-0.41,3.05,-1.66,1000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2289,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],668.41,-33.14,-49.4,32.12,9.77,-5.37,38.09,26.75,109.0,26.0,83.0,23.85,-0.31,3.09,-1.38,1000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4583,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],668.28,-33.16,-49.4,32.1,9.54,-17.04,34.99,3.58,14.0,5.0,9.0,35.71,-2.57,2.79,-5.54,1000,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4521,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],668.21,-33.16,-49.4,32.09,0.21,-15.34,33.16,2.4,7.0,1.0,6.0,14.29,-5.41,0.21,-6.35,1000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4564,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.99,-33.19,-49.4,32.04,12.07,-12.43,40.93,10.02,43.0,21.0,22.0,48.84,-0.83,1.61,-3.16,1000,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4571,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.99,-33.19,-49.4,32.04,12.07,-12.43,40.93,10.02,43.0,21.0,22.0,48.84,-0.83,1.61,-3.16,1000,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2176,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.82,-33.2,-49.4,32.01,0.0,-9.56,33.2,2.6,8.0,0.0,8.0,0.0,-4.83,0.0,-4.83,1000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3254,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.71,-33.21,-49.4,31.99,19.57,-6.8,43.26,47.76,186.0,74.0,112.0,39.78,-0.16,1.96,-1.55,1000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3697,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.34,-33.25,-49.4,31.91,0.0,-9.51,33.25,2.51,8.0,0.0,8.0,0.0,-4.84,0.0,-4.84,1000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4737,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.32,-33.25,-49.4,31.91,0.0,-19.45,33.25,1.3,4.0,0.0,4.0,0.0,-9.29,0.0,-9.29,1000,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4730,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],667.32,-33.25,-49.4,31.91,0.0,-19.45,33.25,1.3,4.0,0.0,4.0,0.0,-9.29,0.0,-9.29,1000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],666.98,-33.29,-49.4,31.84,13.65,-5.58,51.16,93.14,451.0,182.0,269.0,40.35,-0.05,1.12,-0.85,1000,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
3396,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],666.74,-33.31,-49.4,31.79,0.0,-9.74,33.31,2.53,8.0,0.0,8.0,0.0,-4.85,0.0,-4.85,1000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
848,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],666.71,-33.31,-49.4,31.79,29.55,-5.55,44.21,18.68,81.0,19.0,62.0,23.46,-0.4,3.76,-1.68,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
4922,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],666.35,-33.35,-49.4,31.72,10.77,-15.01,37.07,3.06,11.0,5.0,6.0,45.45,-3.27,4.14,-9.45,1000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4959,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],665.72,-33.41,-49.4,31.59,3.73,-12.24,39.32,7.16,27.0,13.0,14.0,48.15,-1.37,1.82,-4.33,1000,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
838,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],665.45,-33.44,-49.4,31.54,0.0,-8.95,33.44,3.33,11.0,0.0,11.0,0.0,-3.57,0.0,-3.57,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
522,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],665.17,-33.47,-49.4,31.48,0.0,-9.73,33.47,2.5,8.0,0.0,8.0,0.0,-4.88,0.0,-4.88,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
826,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],664.65,-33.52,-49.4,31.38,0.0,-10.53,33.52,2.78,9.0,0.0,9.0,0.0,-4.36,0.0,-4.36,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
