,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3311,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1127.66,12.79,-49.86,124.97,21.57,-11.44,14.93,7.28,25.0,14.0,11.0,56.0,0.68,3.6,-3.03,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1063,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1112.57,11.28,-49.86,121.97,6.24,-2.44,3.95,3.22,10.0,5.0,5.0,50.0,1.14,3.54,-1.27,1000,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3489,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1106.17,10.64,-49.86,120.69,8.08,-2.18,4.32,4.57,15.0,9.0,6.0,60.0,0.72,1.72,-0.77,1000,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
353,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1105.23,10.55,-49.86,120.5,5.62,-3.39,3.9,6.24,19.0,14.0,5.0,73.68,0.57,1.32,-1.51,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
887,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1103.43,10.37,-49.86,120.14,6.09,-2.44,2.6,3.53,11.0,6.0,5.0,54.55,0.95,2.5,-0.91,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
674,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1097.59,9.78,-49.86,118.98,21.31,-10.35,13.38,5.82,20.0,12.0,8.0,60.0,0.62,2.49,-2.17,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1070,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1097.49,9.77,-49.86,118.96,6.24,-3.03,5.14,2.92,9.0,5.0,4.0,55.56,1.12,3.51,-1.88,1000,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
360,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1096.6,9.69,-49.86,118.78,5.62,-3.39,6.78,7.57,24.0,12.0,12.0,50.0,0.43,1.68,-0.83,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
3029,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1094.86,9.51,-49.86,118.43,6.8,-0.7,0.84,2.32,5.0,3.0,2.0,60.0,1.9,3.43,-0.39,1000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3768,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1088.18,8.84,-49.86,117.1,23.77,-6.88,15.77,7.13,25.0,11.0,14.0,44.0,0.53,5.31,-3.23,1000,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
676,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1087.73,8.8,-49.86,117.01,21.01,-10.35,13.48,5.28,18.0,9.0,9.0,50.0,0.64,3.06,-1.79,1000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
3724,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1085.39,8.56,-49.86,116.54,4.4,-2.78,6.62,4.55,15.0,9.0,6.0,60.0,0.59,1.73,-1.12,1000,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
363,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1084.65,8.49,-49.86,116.39,5.62,-3.39,4.66,6.18,19.0,12.0,7.0,63.16,0.47,1.45,-1.2,1000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
909,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1083.75,8.4,-49.86,116.21,6.09,-3.14,5.62,3.46,11.0,7.0,4.0,63.64,0.79,2.15,-1.59,1000,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
898,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1082.08,8.23,-49.86,115.88,8.23,0.0,0.0,0.32,1.0,1.0,0.0,100.0,8.23,8.23,0.0,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
903,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],1082.08,8.23,-49.86,115.88,8.23,0.0,0.0,0.32,1.0,1.0,0.0,100.0,8.23,8.23,0.0,1000,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
