,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
3329,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],654.45,-34.54,-49.86,30.57,20.35,-18.84,44.33,10.25,46.0,26.0,20.0,56.52,-0.75,1.93,-4.22,1000,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1030,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],653.96,-34.59,-49.86,30.47,11.94,-7.9,42.86,10.54,49.0,14.0,35.0,28.57,-0.78,3.47,-2.48,1000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3256,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],652.96,-34.69,-49.86,30.27,18.64,-14.62,43.28,27.5,123.0,68.0,55.0,55.28,-0.26,1.56,-2.51,1000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3460,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],652.72,-34.71,-49.86,30.22,10.83,-13.05,46.71,9.42,48.0,15.0,33.0,31.25,-0.79,3.15,-2.58,1000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1031,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],652.72,-34.71,-49.86,30.22,8.13,-7.34,34.71,4.56,19.0,3.0,16.0,15.79,-2.14,3.41,-3.18,1000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
391,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],652.45,-34.74,-49.86,30.17,8.13,-8.57,35.57,5.09,22.0,4.0,18.0,18.18,-1.85,2.14,-2.74,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2292,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],652.08,-34.78,-49.86,30.09,14.78,-7.28,41.14,6.54,28.0,7.0,21.0,25.0,-1.4,4.66,-3.42,1000,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1770,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],651.74,-34.81,-49.86,30.03,13.74,-6.86,42.7,10.94,47.0,13.0,34.0,27.66,-0.82,3.3,-2.4,1000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4883,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],649.55,-35.03,-49.86,29.59,0.0,-12.67,35.03,1.73,5.0,0.0,5.0,0.0,-8.17,0.0,-8.17,1000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4905,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],649.55,-35.03,-49.86,29.59,0.0,-12.67,35.03,1.73,5.0,0.0,5.0,0.0,-8.17,0.0,-8.17,1000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2490,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],648.87,-35.1,-49.86,29.45,14.14,-6.7,42.84,10.05,44.0,11.0,33.0,25.0,-0.89,3.68,-2.42,1000,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],648.8,-35.1,-49.86,29.44,12.45,-11.25,52.95,11.22,59.0,21.0,38.0,35.59,-0.63,2.75,-2.51,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
4950,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],648.76,-35.11,-49.86,29.43,0.0,-12.69,35.11,1.73,5.0,0.0,5.0,0.0,-8.19,0.0,-8.19,1000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
602,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],648.73,-35.11,-49.86,29.43,11.53,-12.23,46.4,10.11,49.0,17.0,32.0,34.69,-0.79,2.56,-2.56,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
599,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],648.7,-35.11,-49.86,29.42,11.53,-12.23,46.94,10.39,51.0,18.0,33.0,35.29,-0.75,2.45,-2.5,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3307,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],647.88,-35.2,-49.86,29.26,20.35,-18.84,45.91,10.99,51.0,28.0,23.0,54.9,-0.68,1.96,-3.89,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],647.75,-35.21,-49.86,29.23,8.13,-7.34,35.21,5.25,23.0,4.0,19.0,17.39,-1.8,2.45,-2.7,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3849,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],647.1,-35.27,-49.86,29.1,9.94,-7.88,41.58,6.57,28.0,9.0,19.0,32.14,-1.46,2.43,-3.29,1000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2573,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.53,-35.33,-49.86,28.99,0.0,-18.47,35.33,1.22,3.0,0.0,3.0,0.0,-13.35,0.0,-13.35,1000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2536,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.53,-35.33,-49.86,28.99,0.0,-18.47,35.33,1.22,3.0,0.0,3.0,0.0,-13.35,0.0,-13.35,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3762,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.2,-35.37,-49.86,28.92,9.58,-8.3,35.37,6.42,27.0,8.0,19.0,29.63,-1.51,3.24,-3.51,1000,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1664,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.12,-35.37,-49.86,28.9,8.13,-8.29,35.37,4.89,21.0,4.0,17.0,19.05,-1.98,2.38,-3.01,1000,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2140,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.1,-35.38,-49.86,28.9,8.39,-7.68,39.16,5.3,21.0,5.0,16.0,23.81,-1.98,2.24,-3.3,1000,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3897,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],646.08,-35.38,-49.86,28.9,8.13,-7.15,35.45,5.25,21.0,3.0,18.0,14.29,-1.99,3.42,-2.89,1000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3853,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.96,-35.49,-49.86,28.67,7.98,-13.78,41.43,5.55,23.0,8.0,15.0,34.78,-1.77,2.4,-3.99,1000,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
925,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.8,-35.51,-49.86,28.64,8.13,-7.67,36.61,4.56,19.0,5.0,14.0,26.32,-2.2,2.09,-3.73,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2287,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.8,-35.51,-49.86,28.64,8.13,-7.67,36.61,4.56,19.0,5.0,14.0,26.32,-2.2,2.09,-3.73,1000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3911,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.5,-35.53,-49.86,28.58,5.76,-21.45,44.82,4.37,17.0,8.0,9.0,47.06,-2.22,3.86,-7.63,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3933,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.5,-35.53,-49.86,28.58,5.76,-21.45,44.82,4.37,17.0,8.0,9.0,47.06,-2.22,3.86,-7.63,1000,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2805,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.34,-35.55,-49.86,28.55,0.67,-19.92,35.78,1.58,4.0,1.0,3.0,25.0,-9.81,0.67,-13.31,1000,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2812,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.34,-35.55,-49.86,28.55,0.67,-19.92,35.78,1.58,4.0,1.0,3.0,25.0,-9.81,0.67,-13.31,1000,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
532,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],644.14,-35.57,-49.86,28.51,13.46,-6.87,41.42,6.94,30.0,9.0,21.0,30.0,-1.35,3.4,-3.38,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1658,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],643.99,-35.59,-49.86,28.48,12.08,-6.54,41.63,6.59,30.0,9.0,21.0,30.0,-1.37,2.87,-3.18,1000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
527,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],643.13,-35.67,-49.86,28.31,13.46,-6.71,43.45,6.61,31.0,9.0,22.0,29.03,-1.31,3.45,-3.26,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3458,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],642.57,-35.73,-49.86,28.2,8.13,-7.82,35.73,4.81,20.0,1.0,19.0,5.0,-2.12,8.13,-2.66,1000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3267,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],642.38,-35.75,-49.86,28.16,13.73,-13.95,44.57,8.17,37.0,14.0,23.0,37.84,-1.03,3.59,-3.84,1000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2196,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],642.32,-35.75,-49.86,28.15,8.39,-8.51,40.78,5.25,21.0,4.0,17.0,19.05,-2.01,2.48,-3.06,1000,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1601,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],642.15,-35.77,-49.86,28.11,14.59,-5.87,40.84,11.36,48.0,15.0,33.0,31.25,-0.84,2.67,-2.43,1000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3530,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],641.43,-35.84,-49.86,27.97,5.99,-7.8,35.84,4.5,18.0,3.0,15.0,16.67,-2.36,2.15,-3.26,1000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1017,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.92,-35.89,-49.86,27.87,8.13,-8.29,37.0,4.53,19.0,5.0,14.0,26.32,-2.22,2.24,-3.82,1000,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
742,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.84,-35.9,-49.86,27.85,16.2,-8.5,45.68,6.76,31.0,8.0,23.0,25.81,-1.33,3.25,-2.92,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
282,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.69,-35.92,-49.86,27.82,15.19,-7.28,40.91,9.25,40.0,10.0,30.0,25.0,-1.01,3.85,-2.64,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
765,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.65,-35.92,-49.86,27.81,4.01,-5.94,36.93,5.97,23.0,4.0,19.0,17.39,-1.86,1.64,-2.6,1000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
5,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.47,-35.94,-49.86,27.78,8.13,-7.34,36.75,5.5,24.0,4.0,20.0,16.67,-1.77,2.6,-2.65,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1513,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],640.21,-35.96,-49.86,27.73,12.22,-5.43,44.16,10.88,45.0,13.0,32.0,28.89,-0.91,2.42,-2.27,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3685,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],639.99,-35.99,-49.86,27.68,8.13,-7.37,35.99,5.88,24.0,4.0,20.0,16.67,-1.78,2.66,-2.66,1000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3879,[2022-05-01 00:00:00] -> [2022-06-30 08:00:00],639.93,-35.99,-49.86,27.67,6.93,-7.97,39.41,6.79,27.0,9.0,18.0,33.33,-1.54,2.92,-3.77,1000,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
