,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
86,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],635.04,-36.48,-49.4,25.53,0.0,-9.25,36.48,2.72,9.0,0.0,9.0,0.0,-4.84,0.0,-4.84,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
231,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],634.88,-36.5,-49.4,25.5,6.21,-11.87,36.5,4.87,17.0,3.0,14.0,17.65,-2.52,3.38,-3.79,1000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
20,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],634.47,-36.54,-49.4,25.42,17.56,-5.03,48.69,77.5,305.0,102.0,203.0,33.44,-0.11,1.63,-0.98,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
849,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],633.47,-36.64,-49.4,25.22,0.0,-9.39,36.64,2.93,10.0,0.0,10.0,0.0,-4.39,0.0,-4.39,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
64,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],633.25,-36.66,-49.4,25.18,0.0,-9.26,36.66,2.72,9.0,0.0,9.0,0.0,-4.86,0.0,-4.86,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
284,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],631.96,-36.79,-49.4,24.92,0.0,-9.67,36.79,2.82,9.0,0.0,9.0,0.0,-4.89,0.0,-4.89,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
403,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],631.09,-36.88,-49.4,24.75,0.0,-10.66,36.88,2.86,10.0,0.0,10.0,0.0,-4.42,0.0,-4.42,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
801,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],629.95,-36.99,-49.4,24.52,0.0,-10.54,36.99,2.47,8.0,0.0,8.0,0.0,-5.52,0.0,-5.52,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
750,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],629.09,-37.08,-49.4,24.35,22.17,-4.4,50.87,18.54,84.0,19.0,65.0,22.62,-0.47,3.78,-1.71,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
293,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],628.9,-37.1,-49.4,24.31,16.72,-5.14,41.14,32.21,138.0,40.0,98.0,28.99,-0.28,2.38,-1.37,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
152,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],628.81,-37.1,-49.4,24.3,4.56,-9.65,37.25,7.39,28.0,3.0,25.0,10.71,-1.59,1.61,-1.97,1000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
751,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],628.45,-37.14,-49.4,24.23,0.0,-10.94,37.14,2.69,9.0,0.0,9.0,0.0,-4.94,0.0,-4.94,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
693,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],627.94,-37.19,-49.4,24.12,16.46,-6.91,51.63,19.42,89.0,20.0,69.0,22.47,-0.45,3.86,-1.7,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
300,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],626.66,-37.32,-49.4,23.87,0.0,-8.85,37.32,2.97,10.0,0.0,10.0,0.0,-4.5,0.0,-4.5,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
855,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],626.22,-37.36,-49.4,23.78,9.29,-8.04,39.26,37.76,161.0,59.0,102.0,36.65,-0.24,1.82,-1.43,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
442,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.87,-37.4,-49.4,23.72,14.24,-4.47,40.45,24.74,105.0,28.0,77.0,26.67,-0.4,2.16,-1.33,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
930,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.87,-37.4,-49.4,23.72,0.0,-11.0,37.4,2.75,9.0,0.0,9.0,0.0,-4.96,0.0,-4.96,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
607,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.47,-37.44,-49.4,23.64,0.0,-8.79,37.44,2.97,10.0,0.0,10.0,0.0,-4.51,0.0,-4.51,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
33,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.38,-37.45,-49.4,23.62,0.27,-10.35,37.45,3.3,11.0,1.0,10.0,9.09,-4.08,0.27,-4.52,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
583,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.37,-37.45,-49.4,23.62,0.0,-9.27,37.45,2.99,10.0,0.0,10.0,0.0,-4.49,0.0,-4.49,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
716,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],625.27,-37.46,-49.4,23.6,0.0,-9.09,37.46,2.96,10.0,0.0,10.0,0.0,-4.52,0.0,-4.52,1000,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
