,Unnamed: 0,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
706,706,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],559.06,-44.09,-4.73,-41.32,5.88,-2.97,48.67,13.44,222.0,73.0,149.0,32.88,-0.25,1.08,-0.9,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
449,449,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],558.21,-44.18,-4.73,-41.41,8.44,-6.5,45.81,10.59,169.0,43.0,126.0,25.44,-0.33,1.53,-0.96,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
298,298,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],556.55,-44.34,-4.73,-41.58,5.11,-5.4,50.55,19.12,304.0,116.0,188.0,38.16,-0.18,0.75,-0.76,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
692,692,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],553.89,-44.61,-4.73,-41.86,5.24,-3.13,49.09,16.59,277.0,86.0,191.0,31.05,-0.2,1.01,-0.75,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
698,698,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],553.76,-44.62,-4.73,-41.87,0.75,-6.52,44.62,1.36,23.0,1.0,22.0,4.35,-2.52,0.75,-2.67,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
854,854,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],551.93,-44.8,-4.73,-42.07,0.55,-5.54,44.8,1.56,26.0,1.0,25.0,3.85,-2.25,0.55,-2.36,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
564,564,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],549.8,-45.02,-4.73,-42.29,2.33,-5.26,45.05,1.79,28.0,4.0,24.0,14.29,-2.09,0.77,-2.57,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
442,442,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],547.11,-45.29,-4.73,-42.57,8.3,-6.39,47.19,10.56,168.0,43.0,125.0,25.6,-0.34,1.44,-0.95,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
738,738,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],546.86,-45.31,-4.73,-42.6,10.83,-4.06,48.99,17.59,293.0,74.0,219.0,25.26,-0.19,1.22,-0.67,1000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
527,527,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],545.79,-45.42,-4.73,-42.71,6.71,-3.01,48.18,11.8,191.0,56.0,135.0,29.32,-0.3,1.22,-0.94,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
684,684,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],545.5,-45.45,-4.73,-42.74,5.27,-11.41,45.47,2.82,44.0,12.0,32.0,27.27,-1.32,0.77,-2.1,1000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
530,530,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],545.28,-45.47,-4.73,-42.76,6.2,-4.0,48.26,11.14,181.0,54.0,127.0,29.83,-0.32,1.18,-0.96,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
711,711,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],543.57,-45.64,-4.73,-42.94,5.64,-3.4,52.4,12.8,211.0,69.0,142.0,32.7,-0.28,1.1,-0.95,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
59,59,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],543.24,-45.67,-4.73,-42.98,2.3,-5.6,45.67,1.93,31.0,4.0,27.0,12.9,-1.93,0.98,-2.36,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
842,842,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],542.66,-45.73,-4.73,-43.04,0.65,-6.8,46.07,1.49,24.0,2.0,22.0,8.33,-2.49,0.6,-2.78,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
96,96,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],542.1,-45.79,-4.73,-43.1,0.55,-5.54,45.79,1.53,26.0,1.0,25.0,3.85,-2.31,0.55,-2.43,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
311,311,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],541.64,-45.83,-4.73,-43.15,0.3,-4.78,45.83,1.35,22.0,1.0,21.0,4.55,-2.74,0.3,-2.88,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
622,622,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],540.48,-45.95,-4.73,-43.27,0.82,-6.24,45.95,1.46,25.0,2.0,23.0,8.0,-2.41,0.44,-2.66,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
293,293,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],538.59,-46.14,-4.73,-43.47,5.49,-3.4,50.84,14.75,239.0,72.0,167.0,30.13,-0.25,1.18,-0.86,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
294,294,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],535.34,-46.46,-4.73,-43.81,7.29,-5.48,48.23,8.68,138.0,34.0,104.0,24.64,-0.44,1.35,-1.02,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
705,705,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],533.26,-46.67,-4.73,-44.03,0.74,-6.75,46.67,1.29,22.0,1.0,21.0,4.55,-2.8,0.74,-2.97,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
713,713,[2022-01-01 00:00:00] -> [2022-03-01 23:00:00],532.72,-46.73,-4.73,-44.08,5.64,-3.25,51.69,12.34,207.0,65.0,142.0,31.4,-0.29,1.13,-0.94,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
